nama_provinsi,tahun,luas_panen,produktivitas,produksi
Prov. Jambi,2010,8280,37.07,30691
Prov. Sumatera Selatan,2010,33769,37.25,125796
Prov. Bengkulu,2010,20516,36.23,74331
Prov. Lampung,2010,447509,47.52,2126571
Prov. Kepulauan Bangka Belitung,2010,341,30.94,1055
Prov. Kepulauan Riau,2010,454,21.17,961
Prov. DKI Jakarta,2010,15,20.67,31
Prov. Jawa Barat,2010,153778,60.08,923962
Prov. Jawa Tengah,2010,631816,48.41,3058710
Prov. D I Yogyakarta,2010,86837,39.8,345576
Prov. Jawa Timur,2010,1257721,44.42,5587318
Prov. Banten,2010,8697,32.84,28557
Prov. Bali,2010,26706,24.85,66355
Prov. Nusa Tenggara Barat,2010,61593,40.43,249005
Prov. Nusa Tenggara Timur,2010,244583,26.72,653620
Prov. Kalimantan Barat,2010,45014,37.38,168273
Prov. Kalimantan Tengah,2010,3247,28.78,9345
Prov. Kalimantan Selatan,2010,22584,51.56,116449
Prov. Kalimantan Timur,2010,4693,25.56,11993
Prov. Sulawesi Utara,2010,121930,36.59,446144
Prov. Sulawesi Tengah,2010,42747,37.97,162306
Prov. Sulawesi Selatan,2010,303375,44.27,1343044
Prov. Sulawesi Tenggara,2010,29607,25.28,74840
Prov. Gorontalo,2010,143833,47.22,679167
Prov. Sulawesi Barat,2010,13308,43.6,58020
Prov. Maluku,2010,6293,24.27,15273
Prov. Maluku Utara,2010,10813,19,20546
Prov. Papua Barat,2010,1162,16.62,1931
Prov. Papua,2010,3903,17.51,6834
Prov. Nanggroe Aceh Darussalam,2011,41853,40.35,168861
Prov. Sumatera Utara,2011,255291,50.71,1294645
Prov. Sumatera Barat,2011,71116,66.35,471849
Prov. Riau,2011,14139,23.48,33197
Prov. Jambi,2011,6706,38.06,25521
Prov. Sumatera Selatan,2011,32965,38.13,125688
Prov. Bengkulu,2011,22215,39.33,87362
Prov. Lampung,2011,380917,47.72,1817906
Prov. Kepulauan Bangka Belitung,2011,277,30.69,850
Prov. Kepulauan Riau,2011,434,21.27,923
Prov. DKI Jakarta,2011,12,19.17,23
Prov. Jawa Barat,2011,147152,64.23,945104
Prov. Jawa Tengah,2011,520149,53.3,2772575
Prov. D I Yogyakarta,2011,69768,41.8,291596
Prov. Jawa Timur,2011,1204063,45.21,5443705
Prov. Banten,2011,4600,30.14,13863
Prov. Bali,2011,22739,28.41,64606
Prov. Nusa Tenggara Barat,2011,89307,51.16,456915
Prov. Nusa Tenggara Timur,2011,246893,21.25,524638
Prov. Kalimantan Barat,2011,45593,35.27,160819
Prov. Kalimantan Tengah,2011,3195,28.82,9208
Prov. Kalimantan Selatan,2011,19487,51.2,99779
Prov. Kalimantan Timur,2011,2965,24.76,7341
Prov. Sulawesi Utara,2011,119850,36.59,438504
Prov. Sulawesi Tengah,2011,41218,39.26,161810
Prov. Sulawesi Selatan,2011,297126,47.8,1420154
Prov. Sulawesi Tenggara,2011,28892,23.53,67997
Prov. Gorontalo,2011,135754,44.62,605782
Prov. Sulawesi Barat,2011,17372,47.78,82995
Prov. Maluku,2011,4808,28.86,13875
Prov. Maluku Utara,2011,12733,20.54,26149
Prov. Papua Barat,2011,1278,16.63,2125
Prov. Papua,2011,3825,18,6885
Prov. Nanggroe Aceh Darussalam,2012,43675,38.3,167285
Prov. Sumatera Utara,2012,243098,55.41,1347124
Prov. Sumatera Barat,2012,75657,65.49,495497
Prov. Riau,2012,13284,23.66,31433
Prov. Jambi,2012,6587,38.82,25571
Prov. Sumatera Selatan,2012,28617,39.46,112917
Prov. Bengkulu,2012,22653,45.81,103771
Prov. Lampung,2012,360264,48.86,1760275
Prov. Kepulauan Bangka Belitung,2012,268,36.08,967
Prov. Kepulauan Riau,2012,390,21.77,849
Prov. DKI Jakarta,2012,3,20,6
Prov. Jawa Barat,2012,148601,69.22,1028653
Prov. Jawa Tengah,2012,553372,54.97,3041630
Prov. D I Yogyakarta,2012,73766,45.63,336608
Prov. Jawa Timur,2012,1232523,51.08,6295301
Prov. Banten,2012,3074,31.94,9819
Prov. Bali,2012,21008,29.45,61873
Prov. Nusa Tenggara Barat,2012,117030,54.92,642674
Prov. Nusa Tenggara Timur,2012,245323,25.66,629386
Prov. Kalimantan Barat,2012,44642,38.11,170123
Prov. Kalimantan Tengah,2012,2752,28.88,7947
Prov. Kalimantan Selatan,2012,21723,51.59,112066
Prov. Kalimantan Timur,2012,4104,24.22,9940
Prov. Sulawesi Utara,2012,120272,36.61,440308
Prov. Sulawesi Tengah,2012,37418,37.86,141649
Prov. Sulawesi Selatan,2012,325329,46.58,1515329
Prov. Sulawesi Tenggara,2012,30884,25.4,78447
Prov. Gorontalo,2012,135543,47.57,644754
Prov. Sulawesi Barat,2012,25141,48.75,122554
Prov. Maluku,2012,4768,38.34,18281
Prov. Maluku Utara,2012,11074,23.07,25543
Prov. Papua Barat,2012,1199,17.09,2049
Prov. Papua,2012,3553,17.99,6393
Prov. Nanggroe Aceh Darussalam,2013,43444,40.34,175273
Prov. Sumatera Utara,2013,211750,55.87,1183011
Prov. Sumatera Barat,2013,81665,67.03,547417
Prov. Riau,2013,11748,23.88,28052
Prov. Jambi,2013,6504,39.5,25690
Prov. Sumatera Selatan,2013,32558,51.43,167457
Prov. Bengkulu,2013,18257,51.48,93988
Prov. Lampung,2013,346284,50.83,1760126
Prov. Kepulauan Bangka Belitung,2013,237,33.46,793
Prov. Kepulauan Riau,2013,339,23.3,790
Prov. DKI Jakarta,2013,0,0,0
Prov. Jawa Barat,2013,152923,72.06,1101997
Prov. Jawa Tengah,2013,532061,55.09,2930911
Prov. D I Yogyakarta,2013,70772,40.92,289580
Prov. Jawa Timur,2013,1199544,48.03,5760959
Prov. Banten,2013,3583,33.6,12038
Prov. Bali,2013,18223,31.59,57573
Prov. Nusa Tenggara Barat,2013,110273,57.47,633773
Prov. Nusa Tenggara Timur,2013,270394,26.17,707642
Prov. Kalimantan Barat,2013,42597,37.43,159423
Prov. Kalimantan Tengah,2013,2083,30.17,6284
Prov. Kalimantan Selatan,2013,20629,51.89,107043
Prov. Kalimantan Timur,2013,2300,25.33,5826
Prov. Sulawesi Utara,2013,122237,36.65,448002
Prov. Sulawesi Tengah,2013,34077,40.76,138890
Prov. Sulawesi Selatan,2013,274046,45.62,1250202
Prov. Sulawesi Tenggara,2013,27133,24.91,67578
Prov. Gorontalo,2013,140423,47.65,669094
Prov. Sulawesi Barat,2013,26261,48.13,126407
Prov. Maluku,2013,3203,37.28,11940
Prov. Maluku Utara,2013,10395,28.3,29421
Prov. Papua Barat,2013,1213,17.09,2073
Prov. Papua,2013,3005,23.41,7034
